###>>>>>>>>>>>>>>>>>>>> START ./from-testssl.tsv
[-] [0x00] => 0x00,0x00 : 
[+] [0x80] => 0x00,0x80 : GOST94-GOST89-GOST89
!!! WARNING !!! 0x00,0x80 not found in base db.
[+] [0x81] => 0x00,0x81 : GOST2001-GOST89-GOST89
!!! WARNING !!! 0x00,0x81 not found in base db.
[+] [0x82] => 0x00,0x82 : GOST94-NULL-GOST94
!!! WARNING !!! 0x00,0x82 not found in base db.
[+] [0x83] => 0x00,0x83 : GOST2001-GOST89-GOST89
!!! WARNING !!! 0x00,0x83 not found in base db.
[+] [0x84] => 0x00,0x84 : CAMELLIA256-SHA
[+] [0x85] => 0x00,0x85 : DH-DSS-CAMELLIA256-SHA
[+] [0x86] => 0x00,0x86 : DH-RSA-CAMELLIA256-SHA
[+] [0x87] => 0x00,0x87 : DHE-DSS-CAMELLIA256-SHA
[+] [0x88] => 0x00,0x88 : DHE-RSA-CAMELLIA256-SHA
[+] [0x89] => 0x00,0x89 : ADH-CAMELLIA256-SHA
[+] [0x8a] => 0x00,0x8A : PSK-RC4-SHA
[+] [0x8b] => 0x00,0x8B : PSK-3DES-EDE-CBC-SHA
[+] [0x8c] => 0x00,0x8C : PSK-AES128-CBC-SHA
[+] [0x8d] => 0x00,0x8D : PSK-AES256-CBC-SHA
[-] [0x8e] => 0x00,0x8E : 
[-] [0x8f] => 0x00,0x8F : 
[-] [0x90] => 0x00,0x90 : 
[-] [0x91] => 0x00,0x91 : 
[-] [0x92] => 0x00,0x92 : 
[-] [0x93] => 0x00,0x93 : 
[-] [0x94] => 0x00,0x94 : 
[-] [0x95] => 0x00,0x95 : 
[+] [0x96] => 0x00,0x96 : SEED-SHA
[+] [0x97] => 0x00,0x97 : DH-DSS-SEED-SHA
[+] [0x98] => 0x00,0x98 : DH-RSA-SEED-SHA
[+] [0x99] => 0x00,0x99 : DHE-DSS-SEED-SHA
[+] [0x9a] => 0x00,0x9A : DHE-RSA-SEED-SHA
[+] [0x9b] => 0x00,0x9B : ADH-SEED-SHA
[+] [0x9c] => 0x00,0x9C : AES128-GCM-SHA256
[+] [0x9d] => 0x00,0x9D : AES256-GCM-SHA384
[+] [0x9e] => 0x00,0x9E : DHE-RSA-AES128-GCM-SHA256
[+] [0x9f] => 0x00,0x9F : DHE-RSA-AES256-GCM-SHA384
[+] [0xa0] => 0x00,0xA0 : DH-RSA-AES128-GCM-SHA256
[+] [0xa1] => 0x00,0xA1 : DH-RSA-AES256-GCM-SHA384
[+] [0xa2] => 0x00,0xA2 : DHE-DSS-AES128-GCM-SHA256
[+] [0xa3] => 0x00,0xA3 : DHE-DSS-AES256-GCM-SHA384
[+] [0xa4] => 0x00,0xA4 : DH-DSS-AES128-GCM-SHA256
[+] [0xa5] => 0x00,0xA5 : DH-DSS-AES256-GCM-SHA384
[+] [0xa6] => 0x00,0xA6 : ADH-AES128-GCM-SHA256
[+] [0xa7] => 0x00,0xA7 : ADH-AES256-GCM-SHA384
[+] [0xba] => 0x00,0xBA : CAMELLIA128-SHA256
[+] [0xbb] => 0x00,0xBB : DH-DSS-CAMELLIA128-SHA256
[+] [0xbc] => 0x00,0xBC : DH-RSA-CAMELLIA128-SHA256
[+] [0xbd] => 0x00,0xBD : DHE-DSS-CAMELLIA128-SHA256
[+] [0xbe] => 0x00,0xBE : DHE-RSA-CAMELLIA128-SHA256
[+] [0xbf] => 0x00,0xBF : ADH-CAMELLIA128-SHA256
[+] [0x5600] => 0x56,0x00 : TLS_FALLBACK_SCSV
[+] [0x1301] => 0x13,0x01 : TLS_AES_128_GCM_SHA256
[+] [0x1302] => 0x13,0x02 : TLS_AES_256_GCM_SHA384
[+] [0x1303] => 0x13,0x03 : TLS_CHACHA20_POLY1305_SHA256
[+] [0x1304] => 0x13,0x04 : TLS_AES_128_CCM_SHA256
[+] [0x1305] => 0x13,0x05 : TLS_AES_128_CCM_8_SHA256
[+] [0xc001] => 0xC0,0x01 : ECDH-ECDSA-NULL-SHA
[+] [0xc002] => 0xC0,0x02 : ECDH-ECDSA-RC4-SHA
[+] [0xc003] => 0xC0,0x03 : ECDH-ECDSA-DES-CBC3-SHA
[+] [0xc004] => 0xC0,0x04 : ECDH-ECDSA-AES128-SHA
[+] [0xc005] => 0xC0,0x05 : ECDH-ECDSA-AES256-SHA
[+] [0xc006] => 0xC0,0x06 : ECDHE-ECDSA-NULL-SHA
[+] [0xc007] => 0xC0,0x07 : ECDHE-ECDSA-RC4-SHA
[+] [0xc008] => 0xC0,0x08 : ECDHE-ECDSA-DES-CBC3-SHA
[+] [0xc009] => 0xC0,0x09 : ECDHE-ECDSA-AES128-SHA
[+] [0xc00a] => 0xC0,0x0A : ECDHE-ECDSA-AES256-SHA
[+] [0xc00b] => 0xC0,0x0B : ECDH-RSA-NULL-SHA
[+] [0xc00c] => 0xC0,0x0C : ECDH-RSA-RC4-SHA
[+] [0xc00d] => 0xC0,0x0D : ECDH-RSA-DES-CBC3-SHA
[+] [0xc00e] => 0xC0,0x0E : ECDH-RSA-AES128-SHA
[+] [0xc00f] => 0xC0,0x0F : ECDH-RSA-AES256-SHA
[+] [0xc010] => 0xC0,0x10 : ECDHE-RSA-NULL-SHA
[+] [0xc011] => 0xC0,0x11 : ECDHE-RSA-RC4-SHA
[+] [0xc012] => 0xC0,0x12 : ECDHE-RSA-DES-CBC3-SHA
[+] [0xc013] => 0xC0,0x13 : ECDHE-RSA-AES128-SHA
[+] [0xc014] => 0xC0,0x14 : ECDHE-RSA-AES256-SHA
[+] [0xc015] => 0xC0,0x15 : AECDH-NULL-SHA
[+] [0xc016] => 0xC0,0x16 : AECDH-RC4-SHA
[+] [0xc017] => 0xC0,0x17 : AECDH-DES-CBC3-SHA
[+] [0xc018] => 0xC0,0x18 : AECDH-AES128-SHA
[+] [0xc019] => 0xC0,0x19 : AECDH-AES256-SHA
[+] [0xc01a] => 0xC0,0x1A : SRP-3DES-EDE-CBC-SHA
[+] [0xc01b] => 0xC0,0x1B : SRP-RSA-3DES-EDE-CBC-SHA
[+] [0xc01c] => 0xC0,0x1C : SRP-DSS-3DES-EDE-CBC-SHA
[+] [0xc01d] => 0xC0,0x1D : SRP-AES-128-CBC-SHA
[+] [0xc01e] => 0xC0,0x1E : SRP-RSA-AES-128-CBC-SHA
[+] [0xc01f] => 0xC0,0x1F : SRP-DSS-AES-128-CBC-SHA
[+] [0xc020] => 0xC0,0x20 : SRP-AES-256-CBC-SHA
[+] [0xc021] => 0xC0,0x21 : SRP-RSA-AES-256-CBC-SHA
[+] [0xc022] => 0xC0,0x22 : SRP-DSS-AES-256-CBC-SHA
[+] [0xc023] => 0xC0,0x23 : ECDHE-ECDSA-AES128-SHA256
[+] [0xc024] => 0xC0,0x24 : ECDHE-ECDSA-AES256-SHA384
[+] [0xc025] => 0xC0,0x25 : ECDH-ECDSA-AES128-SHA256
[+] [0xc026] => 0xC0,0x26 : ECDH-ECDSA-AES256-SHA384
[+] [0xc027] => 0xC0,0x27 : ECDHE-RSA-AES128-SHA256
[+] [0xc028] => 0xC0,0x28 : ECDHE-RSA-AES256-SHA384
[+] [0xc029] => 0xC0,0x29 : ECDH-RSA-AES128-SHA256
[+] [0xc02a] => 0xC0,0x2A : ECDH-RSA-AES256-SHA384
[+] [0xc02b] => 0xC0,0x2B : ECDHE-ECDSA-AES128-GCM-SHA256
[+] [0xc02c] => 0xC0,0x2C : ECDHE-ECDSA-AES256-GCM-SHA384
[+] [0xc02d] => 0xC0,0x2D : ECDH-ECDSA-AES128-GCM-SHA256
[+] [0xc02e] => 0xC0,0x2E : ECDH-ECDSA-AES256-GCM-SHA384
[+] [0xc02f] => 0xC0,0x2F : ECDHE-RSA-AES128-GCM-SHA256
[+] [0xc030] => 0xC0,0x30 : ECDHE-RSA-AES256-GCM-SHA384
[+] [0xc031] => 0xC0,0x31 : ECDH-RSA-AES128-GCM-SHA256
[+] [0xc032] => 0xC0,0x32 : ECDH-RSA-AES256-GCM-SHA384
[+] [0xc033] => 0xC0,0x33 : ECDHE-PSK-RC4-SHA
[+] [0xc034] => 0xC0,0x34 : ECDHE-PSK-3DES-EDE-CBC-SHA
[+] [0xc035] => 0xC0,0x35 : ECDHE-PSK-AES128-CBC-SHA
[+] [0xc036] => 0xC0,0x36 : ECDHE-PSK-AES256-CBC-SHA
